severe_values
78
78
78
80
84
84
83
83
74
74
74
73
86
86
77
76
76
77
85
85
84
83
72
69
69
70
74
74
73
72
82
81
81
82
69
68
66
67
85
86
82
83
74
72
73
68
66
68
67
85
84
80
80
70
71
85
84
79
78
77
80
77
77
76
77
77
77
76
80
80
81
80
68
68
70
68
80
80
79
78
71
70
70
86
69
68
70
71
82
83
82
83
76
75
75
75
70
70
68
68
79
79
78
78
81
82
82
83
76
75
76
75
86
86
85
86
68
68
68
68
82
81
79
80
86
85
85
85
75
72
68
74
82
81
79
80
69
67
66
65
65
86
86
74
73
72
72
69
70
69
69
83
82
81
82
78
77
77
78
80
79
78
79
85
84
85
84
79
77
76
77
86
86
86
74
71
70
70
70
85
84
83
83
75
73
73
72
78
77
75
75
85
84
85
84
80
81
81
81
85
85
84
84
74
74
72
74
78
78
75
76
85
83
83
82
70
70
70
70
82
81
80
80
86
86
86
82
82
82
82
81
80
78
78
85
82
82
81
81
81
81
81
80
84
84
85
85
86
86
86
82
82
82
82
86
86
80
80
80
80
86
85
84
81
76
76
77
77
84
85
85
86
70
68
69
69
86
86
86
72
72
72
77
80
80
79
86
86
85
84
76
76
75
75
83
83
83
83
73
72
71
71
81
81
80
80
85
84
82
82
74
75
73
73
86
86
85
86
68
67
66
67
81
81
81
81
72
71
71
71
86
84
85
85
72
72
68
63
86
78
76
76
74
82
82
81
81
86
85
86
86
78
78
78
78
86
85
85
73
73
71
72
80
81
81
79
86
76
75
74
73
78
77
77
76
76
77
86
86
85
82
82
83
84
72
70
66
68
86
86
86
80
80
78
75
80
81
80
80
76
76
75
74
69
68
70
71
71
71
77
78
78
78
77
86
72
71
71
71
84
84
84
83
74
74
74
72
81
79
79
80
85
85
76
75
72
71
72
73
79
78
78
80
84
84
84
83
73
71
70
72
86
76
77
77
76
86
85
85
83
73
72
71
71
84
84
82
81
73
75
72
73
86
86
86
80
80
78
77
76
77
76
83
85
85
85
69
69
68
69
81
82
81
81
76
75
74
75
78
79
78
79
84
83
84
84
72
72
70
70
75
74
72
72
69
72
65
68
69
67
86
73
73
73
72
82
81
80
79
75
75
75
75
86
72
72
71
70
82
83
84
86
79
78
78
78
85
86
85
86
72
71
72
73
81
81
82
82
77
77
77
77
86
86
86
85
72
72
72
72
85
84
79
80
72
73
73
75
86
86
80
78
79
79
72
72
72
72
78
78
79
79
85
84
86
86
76
75
74
75
84
84
82
81
81
82
68
67
67
66
85
74
74
71
69
69
71
71
86
86
86
85
77
77
77
77
81
80
78
77
77
84
84
84
84
73
74
73
74
83
83
83
72
71
70
80
80
80
78
86
85
72
72
70
69
73
78
75
72
86
85
80
81
80
80
80
82
77
78
78
78
84
83
83
82
71
70
71
71
73
73
73
73
85
84
84
84
80
79
79
79
82
82
82
82
78
77
78
77
86
86
86
86
72
72
72
72
85
81
79
80
86
86
79
79
79
80
72
72
72
75
76
75
74
74
74
84
83
83
83
69
69
68
67
73
74
74
74
84
82
74
74
72
72
72
72
76
75
71
70
80
79
78
79
76
77
77
75
80
80
77
77
78
78
77
77
86
86
84
83
77
76
76
86
86
86
80
79
76
77
80
82
80
80
79
80
80
80
84
84
83
83
64
69
70
69
83
84
84
84
84
75
74
86
86
84
84
83
83
82
82
82
82
80
76
76
76
78
77
77
79
86
86
78
81
82
82
86
85
86
76
77
73
73
82
81
82
81
79
76
76
76
86
85
83
83
77
69
69
68
68
83
83
83
83
78
78
77
77
78
86
86
86
86
83
78
78
78
80
82
82
82
77
74
73
73
82
82
81
80
70
71
70
71
85
85
86
80
76
76
83
78
77
77
77
77
77
76
76
70
68
68
67
74
74
76
74
78
78
74
74
76
76
75
74
83
84
84
84
73
72
71
72
79
78
78
78
86
82
81
76
76
79
77
76
75
85
84
85
85
77
78
76
73
81
81
81
81
84
84
84
83
73
72
71
73
72
86
86
85
84
79
79
78
78
82
82
81
81
74
74
73
73
80
78
78
78
78
78
78
84
83
83
84
74
74
74
73
83
83
78
78
81
81
75
74
78
78
79
79
71
72
71
70
81
81
82
81
77
77
76
76
85
84
85
85
76
76
75
75
79
78
76
76
75
85
85
84
84
84
85
84
84
74
74
73
72
86
86
86
74
75
74
74
81
80
83
82
69
68
86
76
76
75
74
76
84
84
83
83
76
74
73
73
72
86
82
81
80
79
76
76
76
76
83
82
81
80
86
78
78
76
76
68
70
68
68
79
82
83
83
83
82
82
80
78
77
78
77
75
74
75
86
85
83
85
85
75
73
72
74
74
73
77
76
76
75
78
77
76
76
72
71
70
69
86
81
81
80
79
76
74
73
72
68
68
69
86
84
84
76
74
76
77
74
77
77
74
73
73
81
81
80
79
85
84
83
82
74
72
72
71
81
81
82
82
86
86
85
86
81
80
78
81
73
74
73
73
83
84
84
84
77
78
77
77
86
81
81
81
78
77
76
80
78
67
68
71
72
77
77
76
74
84
86
86
86
69
67
68
66
86
86
85
76
74
74
78
77
75
74
80
79
79
79
79
84
83
83
83
81
72
71
70
70
86
86
72
71
81
78
77
76
79
79
80
80
84
85
85
85
72
72
72
71
83
82
82
80
80
80
80
78
86
86
86
85
71
71
71
70
77
76
76
76
83
84
83
78
73
74
74
72
72
70
70
71
86
86
86
86
78
78
78
78
78
86
86
72
71
70
71
71
82
82
82
82
77
78
77
78
76
76
76
75
74
83
83
81
80
73
72
71
72
75
75
74
71
70
86
84
83
83
83
72
69
69
72
79
78
78
76
76
70
70
86
86
85
84
80
80
78
78
86
84
83
84
82
85
85
85
84
69
69
68
81
80
80
79
68
69
68
68
80
78
76
76
84
84
82
81
70
71
70
69
78
78
77
76
78
